"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPRF",1846.30746399083,-0.758771234187919,0.1225277876557,-6.19264616382408,5.91624429470139e-10,4.31146302976363e-06
"NKD2",3498.59300000509,-0.71066149721905,0.11305676918143,-6.28588188362789,3.25997741979851e-10,4.31146302976363e-06
"CROCC",2066.49773458608,-0.684976537249308,0.117277362497559,-5.84065434847721,5.19961859545589e-09,1.27780319159683e-05
"SFRP5",429.108545701947,-0.944777534430733,0.161744145898727,-5.84118534356284,5.18307001977044e-09,1.27780319159683e-05
"ENSG00000255026",1710.72742828454,-0.80604079102084,0.138050877052249,-5.83872271029303,5.26025327587031e-09,1.27780319159683e-05
"C21orf91",426.004056261178,0.805158653971711,0.137579696026823,5.85230726062029,4.84799916302382e-09,1.27780319159683e-05
"MTLN",176.306000590723,-1.23838788360159,0.215969210991038,-5.73409458653334,9.80346140624042e-09,1.42885449995954e-05
"ACSF3",12560.205962701,-0.393308913039494,0.0680350676414529,-5.78097335204023,7.42696554843939e-09,1.42885449995954e-05
"TLE2",661.831573689013,-0.756903738938887,0.1312249214582,-5.7679877459861,8.02236375711947e-09,1.42885449995954e-05
"ANO8",1071.28412283813,-0.778279567273755,0.135668061947219,-5.73664542784243,9.65701320341478e-09,1.42885449995954e-05
"CDK6",12336.8501463849,0.527870467604016,0.0929466229160154,5.67928614341361,1.35258043150932e-08,1.7123069083619e-05
"SLIT1",8105.54528698704,-0.527319734780747,0.0931946017423616,-5.65826480205938,1.52911082780844e-08,1.7123069083619e-05
"PGGHG",7806.41615231997,-0.506371443220867,0.089690942786857,-5.64573665396981,1.64475449173699e-08,1.7123069083619e-05
"ABCG1",1459.33186461566,-0.49939805177748,0.0881435861800564,-5.66573330426253,1.46397078842629e-08,1.7123069083619e-05
"ATAD5",1829.01923281587,0.566132621847499,0.101880936907412,5.55680619978978,2.74755527356832e-08,2.37394782278119e-05
"MGAT5B",187.86989979702,-1.08500822182647,0.195305085239109,-5.55545300061239,2.76892713463329e-08,2.37394782278119e-05
"BAHCC1",10847.9371561283,-0.540422218372142,0.0972329338195929,-5.55801616944776,2.72858113431521e-08,2.37394782278119e-05
"TTC7A",2201.34259750292,-0.561861401757628,0.101667602077387,-5.52645474346836,3.26766500229438e-08,2.41366207209065e-05
"MYO7B",27748.1470631441,-0.516599542990337,0.0936630262632321,-5.51551197522144,3.47766061844965e-08,2.41366207209065e-05
"PTP4A3",419.433386031435,-0.781478155463504,0.141424798022514,-5.52575055004918,3.2808000302695e-08,2.41366207209065e-05
"DDIT4",3410.530640027,-0.985401699582766,0.178549239183238,-5.51893530373145,3.41059719776973e-08,2.41366207209065e-05
"SARDH",1207.50889336799,-0.711669066852401,0.129482037523502,-5.49627639836317,3.87894382000214e-08,2.45806983376223e-05
"SLC27A1",521.388725807812,-0.703589993017061,0.127832438504052,-5.50400196734696,3.7126540126223e-08,2.45806983376223e-05
"F12",526.524512817517,-0.811358576860604,0.149249637328533,-5.43625158079691,5.44131125615215e-08,3.21521135264865e-05
"CAMK1D",1167.60264172381,-0.509053835351134,0.0936818965372222,-5.4338549300064,5.51494228584675e-08,3.21521135264865e-05
"ZAP70",12293.6215316414,-0.593059401154833,0.10954142025888,-5.41401964437972,6.16254008729636e-08,3.32663043601276e-05
