"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01226",1206.84140706401,-1.40758816141337,0.148036105435735,-9.50841118975823,1.9359666291598e-21,5.3705650259522e-17
"ACSF3",12560.205962701,-0.57371127720089,0.0683456775023107,-8.39425839595332,4.68844033416983e-17,6.50310116551026e-13
"DUOX1",271.290739573783,-1.35048044588405,0.17574099189882,-7.68449313556605,1.53603911927513e-14,1.42037537359371e-10
"ENSG00000225172",312.617912845356,-1.2872374672445,0.180982450340926,-7.11249883521671,1.13960498291709e-12,5.26896363851717e-09
"SLC23A1",477.979150131536,-1.03554625347571,0.14522200254773,-7.13078070339485,9.98012189271028e-13,5.26896363851717e-09
"ZBTB16",9659.93229134941,-0.666464056913313,0.0932160886126576,-7.14966768969124,8.69882251524325e-13,5.26896363851717e-09
"LDC1P",755.959152299667,-1.24568725269015,0.179464127045252,-6.9411490374121,3.88923427688078e-12,1.54130354392785e-08
"DENND3",1482.65806150505,-0.709748702708042,0.103178682665848,-6.87883082406295,6.03457723373892e-12,1.86005785601279e-08
"P2RX1",131.834776291981,-1.59876277802978,0.232206109963399,-6.88510211157573,5.77460984859452e-12,1.86005785601279e-08
"TSPOAP1",5884.28956897548,-0.66059801483529,0.0971018639604195,-6.80314453185535,1.02359860879377e-11,2.83956490065479e-08
"PA2G4",4057.69628358329,0.547407144282532,0.0810179962806622,6.75661173335128,1.41256056588522e-11,3.56234933256562e-08
"ABCG1",1459.33186461566,-0.603811388802002,0.0900705524289237,-6.70376024704057,2.03123435462074e-11,4.6957060192945e-08
"NORAD",6927.7019094442,-0.680807911301554,0.102362654933105,-6.65094034290598,2.91226316603018e-11,6.21454557606486e-08
"TRIM56",2248.71932850926,-0.508529959439882,0.0765940326405495,-6.63928953612324,3.15198707950066e-11,6.24566239803055e-08
"ISG20L2",1313.13215296477,0.523172488269281,0.0792533399341405,6.60126738764622,4.07657520461045e-11,7.53921818340656e-08
"ITGAL",500.045816568083,-0.813240979094072,0.124098648621828,-6.5531815867899,5.63239565406132e-11,9.7655179899572e-08
"MMP25",224.922518385172,-1.312472637508,0.207608623975065,-6.32185991303344,2.58433618556311e-10,4.21718059551213e-07
"HSPA8",28986.3242179876,0.435996415321815,0.0703080422599193,6.20123105846121,5.60231914631101e-10,8.63410752432298e-07
"ANKRD40",1459.64093398206,0.533953565774988,0.0871769183627654,6.12494196632498,9.07166650124419e-10,1.32451105479482e-06
"AP2B1",6980.05788842876,0.371777417072118,0.0615383974088594,6.04138932319019,1.52792799679705e-09,2.01839288376891e-06
"TBL1Y",296.096621419458,-0.968576178322341,0.160301264198032,-6.04222420308417,1.52004038320059e-09,2.01839288376891e-06
"DHCR24",7094.39186607998,0.523321381692033,0.0871268583300721,6.00643006900901,1.89652719588947e-09,2.39143458823499e-06
"KPNB1",9099.97530736362,0.327348949035274,0.0547606479374027,5.97781365570161,2.26152210068177e-09,2.72769063456578e-06
"ZNF778",378.005495114694,0.899369011190442,0.151408314638854,5.9400239236244,2.84980485678524e-09,3.29401818883664e-06
"ACAP1",5031.83499648609,-0.504953921951803,0.0857324019242358,-5.88988422834631,3.86466261700425e-09,4.2883842263326e-06
"ZNF521",3592.42669933844,-0.42715898078376,0.0730181153253729,-5.85004116965106,4.91451353570484e-09,5.24359692284569e-06
"MCM4",5652.1127891548,0.382920455048503,0.0655726141677896,5.83963991535662,5.23137665691256e-09,5.37494888294116e-06
"AMPD3",734.004613125997,-0.737207141339431,0.126674355540019,-5.81970311352032,5.89522456896689e-09,5.84069374170395e-06
"RRM2",3462.96767914893,0.411172545737307,0.070816041608175,5.80620628320803,6.39042226001679e-09,6.11298979017675e-06
"SNRPC",1825.63508598188,0.563424482387299,0.0977409806742358,5.76446520692437,8.1917174393911e-09,7.57488111620495e-06
"POMGNT1",1658.46590102031,0.486695338353853,0.0851453550149435,5.7160527226463,1.09026923517722e-08,9.58618522657573e-06
"RRN3P3",932.495530419549,-0.661773449162416,0.115823268469267,-5.71364854323734,1.10579260751387e-08,9.58618522657573e-06
