"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA4",14981.6947538183,-0.419550301006628,0.0711345918531166,-5.89797860755205,3.67981668047617e-09,7.98741008664158e-05
"ENSG00000281383",7502.72482362244,-6.92933935711224,1.35620559901221,-5.10935757982362,3.23256052599975e-07,0.00233886529257836
"MT-RNR2",753.591993734762,-5.43060473060063,1.05225444882575,-5.1609235167985,2.45734566673277e-07,0.00233886529257836
"ENSG00000289140",83.7278743637294,1.28590695851698,0.285986774084597,4.49638610957793,6.91181746482324e-06,0.0257176043292275
"SDCBP2",61.6009288624237,-1.65755134817791,0.36913207407772,-4.49040184958005,7.10889274741385e-06,0.0257176043292275
"MT-RNR1",725.63413574496,-4.60341692847737,1.02082223748191,-4.50951866000953,6.4974879669493e-06,0.0257176043292275
"PRUNE2",765.39047682769,0.407782724415792,0.0915636528777589,4.45354364531741,8.44645286245878e-06,0.0261912436903615
"GADD45B",201.611275751778,-0.828836424980418,0.194392608778715,-4.26372396660366,2.01047786296943e-05,0.0545492906170181
"HLA-DMA",68.32051496792,1.46509910902705,0.357416201691775,4.0991401679393,4.14687847613945e-05,0.0987877074338749
"RPGRIP1",16.7463641662412,2.74910787526198,0.674204925577496,4.07755531140211,4.55117052583963e-05,0.0987877074338749
"MAGOH-DT",24.0571497867639,1.72278404983163,0.428047064040349,4.02475380527135,5.70349520957752e-05,0.109610901197653
"ENSG00000267605",30.4158995560112,1.97998417665669,0.493703567403757,4.01047168257028,6.05975681549728e-05,0.109610901197653
"ENOX1",293.80100610546,-0.613049688272451,0.157962369846797,-3.88098563516759,0.000104033986321659,0.173704746699841
"SNAP47",778.451560525351,-0.447893240914215,0.120128360538136,-3.72845545304872,0.000192656955688413,0.182104379824589
"WNT5A-AS1",38.7797980244905,-1.77930792255499,0.467961028300218,-3.80225663025401,0.000143384089794798,0.182104379824589
"ENSG00000251131",44.831374337573,1.69001194348116,0.44639171641286,3.78593930250736,0.000153129051774192,0.182104379824589
"SNORD101",20.8546599308107,2.63847275039857,0.707733709168429,3.72805861331477,0.000192960505665048,0.182104379824589
"FSBP",237.846276258297,0.789226974534354,0.205233584753634,3.845505965711,0.000120303937308183,0.182104379824589
"DBNDD1",39.5018241967859,-1.80377201268921,0.475343504675973,-3.79467058021291,0.000147839612056967,0.182104379824589
"CD79B",67.2890344898858,-1.16407970221452,0.31166659422215,-3.735015955495,0.000187703286184734,0.182104379824589
"SGK2",23.2310929042157,2.26539029703907,0.606813650223094,3.73325533498826,0.000189020801198679,0.182104379824589
"ENSG00000277437",27.3683493266398,-5.25972755305849,1.40954815328878,-3.73149902029698,0.000190343750519963,0.182104379824589
"MAGEA12",28.16599066784,-1.76866492500711,0.466802390842933,-3.78889431524403,0.000151319265603516,0.182104379824589
"ENSG00000288692",14.5475247282127,-2.68447047685724,0.726491369985315,-3.69511681454867,0.000219785716315352,0.190826750333641
"RNU6-518P",11.4298737950424,3.57820984605422,0.966640623898257,3.70169611910583,0.000214163023794202,0.190826750333641
"PGRMC2",671.28953597662,-0.363426576383863,0.0990152282583715,-3.67041093351351,0.000242160840989171,0.20216704671196
"STARD7-AS1",183.401919541364,0.667859448220261,0.182928390762381,3.65093381862083,0.000261288568478159,0.210056654347663
"RNU5D-1",23.2479590479125,2.92060231508832,0.804702806850786,3.62941733298798,0.000284061680256851,0.220208672559115
"ENSG00000271797",13.8927152153116,2.82511328828855,0.78544665480233,3.59682388487545,0.000322126422285851,0.231141757766666
"TSFM",43.7920476820553,-1.51818565265004,0.422840279762733,-3.59044709151629,0.00033011123609908,0.231141757766666
"TEF",106.791016861281,0.907538720581215,0.252319036544212,3.59679052762312,0.000322167716735395,0.231141757766666
"ENSG00000279212",14.363980975691,3.25651881578577,0.911778250610256,3.57161273983688,0.000354789762023444,0.233365653772148
"RAG1",2899.83576354805,-0.354458015150832,0.0992425484308792,-3.57163354584457,0.000354761572235986,0.233365653772148
"DYSF",109.773553871748,1.20740373641273,0.339640072533357,3.55495076716588,0.00037804987108963,0.241351485349162
"DLX2",86.023706675104,-0.866845348382653,0.246705886922655,-3.51367922020612,0.00044194616637663,0.255458438824395
"NKX3-1",1476.58369358202,-0.361493069973525,0.103199864740092,-3.50284441635598,0.000460318249211741,0.255458438824395
"EPC1-AS2",13.4095414873951,3.54250547283467,1.01008691788747,3.50712934708984,0.000452968909851786,0.255458438824395
"ENSG00000274995",38.2649413522715,1.52669510362568,0.436589729141687,3.49686445127118,0.000470760967150825,0.255458438824395
"ENSG00000276007",80.2192883154682,1.21731907384822,0.346252219838777,3.51570041750211,0.000438595585743758,0.255458438824395
"ENSG00000264063",21.3383893446202,-4.86309158774351,1.38214693422996,-3.51850549844247,0.000433984822343691,0.255458438824395
