"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DYSF",109.773553871748,1.7090359058445,0.33775104194707,5.06004628732522,4.19154712625925e-07,0.0116277708829558
"SLC27A1",521.388725807812,-0.621787559745619,0.130867423312281,-4.75127838546867,2.02134615460905e-06,0.0280370818375048
"CTXND1",11.2746221854165,-6.27719908290433,1.36934651788585,-4.58408372235521,4.55981521438572e-06,0.0316234584655686
"ENSG00000289140",83.7278743637294,1.31653150138908,0.286833113104696,4.58988673636345,4.43486591922284e-06,0.0316234584655686
"FXYD2",208.275350109908,1.10851078943084,0.249731666157931,4.43880748679192,9.04586815746934e-06,0.0501882857112714
"CRABP2",31.9415491494142,-2.18764267366356,0.519562934593305,-4.210544147796,2.54756332221458e-05,0.059569172274915
"LINC02245",66.7511537698856,1.28122182579884,0.301514420252796,4.24928872298923,2.14450365875972e-05,0.059569172274915
"CARD11-AS1",16.4333004351649,-2.53532280734891,0.602505581423203,-4.20796567786164,2.57679992537753e-05,0.059569172274915
"FAM209A",6.56379939469156,6.14598561358101,1.45272034229347,4.23067360912569,2.32992539823958e-05,0.059569172274915
"ENSG00000281383",7502.72482362244,-5.78100612399435,1.3559681946111,-4.26337885133979,2.01358692806779e-05,0.059569172274915
"MT-RNR1",725.63413574496,-4.30909504223959,1.02062064024638,-4.22203399805765,2.42107579779293e-05,0.059569172274915
"MT-RNR2",753.591993734762,-4.53371624455298,1.05115933381832,-4.31306282377225,1.61008342171797e-05,0.059569172274915
"ZNF573",116.314918596131,-1.04384187431464,0.251062644459364,-4.15769489149786,3.21474986239032e-05,0.0637002685232643
"ENSG00000229728",29.1439280170241,-2.59898637255758,0.623393571451423,-4.16909395858295,3.05812907891767e-05,0.0637002685232643
"ENSG00000285701",37.7014660803157,-1.77990822905828,0.430198804830878,-4.13740858661382,3.51250314178227e-05,0.0647364890676082
"ENSG00000266680",14.1708178538953,-3.80139448963233,0.925051704944284,-4.10938596114612,3.96712560523896e-05,0.0647364890676082
"ENSG00000283128",21.902369136639,-2.55439068810219,0.620990106917478,-4.11341607482586,3.89846811090559e-05,0.0647364890676082
"ERFE",179.694458635345,-0.909132258424185,0.22231298868347,-4.08942484111268,4.32444160745936e-05,0.0666468525736279
"ENSG00000279348",318.716127367327,0.654817586784475,0.163214898784141,4.01199640267216,6.02074177774704e-05,0.0759188171165822
"PLPP6",138.641964005222,0.842325735448742,0.209348186152795,4.02356357094951,5.73241015582086e-05,0.0759188171165822
"BCL2L2",66.4687432966151,-1.34148898217359,0.332500534869477,-4.03454683975227,5.47077765474981e-05,0.0759188171165822
"C16orf46",5.87968613645973,6.91001435426377,1.71993635797465,4.01759886185603,5.87941715801167e-05,0.0759188171165822
"ENSG00000271100",16.8161141928652,-2.62753688143066,0.659597254502762,-3.98354732906132,6.78941422707381e-05,0.0818891913361977
"P2RX1",131.834776291981,-0.8817351449472,0.222203615924458,-3.96814039807057,7.24356571575703e-05,0.0837265652170066
