"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTP4A3",419.433386031435,-0.816458594394705,0.144679942275306,-5.64320514339918,1.6691326592242e-08,0.000463034090995385
"TPO",300.61931866433,-0.942009713301884,0.171361475389112,-5.49720823284729,3.85850977599123e-08,0.000535194598478863
"NSMF",74.4860557576761,-1.96911033988846,0.363285234183831,-5.42028729659858,5.95033318277564e-08,0.000550227309411263
"HBEGF",827.760255011671,0.868611058522561,0.171158554016539,5.07489131065357,3.87717557756122e-07,0.00268891819242815
"ZBTB16",9659.93229134941,-0.461119405192198,0.0930771935411024,-4.95416103181678,7.26430296480147e-07,0.00403038057093115
"ARL4C",2232.13629332576,-0.439563114310864,0.0902935291529535,-4.86815742428521,1.12643584270881e-06,0.00520807611876418
"GPR17",174.190705823604,0.962780062000159,0.201463488002027,4.77893077077308,1.76229855483302e-06,0.00698398917280324
"GABBR1",662.967799428865,-0.544519865996428,0.115486782965348,-4.71499726648209,2.41713994306737e-06,0.00838173489507898
"LSP1",234.079180866853,-1.22532260185661,0.271889683063908,-4.5066903166333,6.58466263353914e-06,0.0190386476552631
"C11orf21",18.8168937212706,-3.66622862655503,0.815098995182366,-4.49789368926258,6.86299976758699e-06,0.0190386476552631
"UFSP2",243.4596114812,0.708446481678258,0.16271181721447,4.35399526479662,1.33678595057964e-05,0.0315157560552505
"SCN1B",8.91098458934641,6.30075201322323,1.44855113668386,4.34969249870421,1.36328565178979e-05,0.0315157560552505
"ENSG00000274272",44.5339471137509,-1.68150874558096,0.388335636778319,-4.33003975512258,1.49082424999477e-05,0.0318130427070038
"INO80-AS1",11.6981854801042,-3.75903100434074,0.883198942610812,-4.25615433056195,2.07973174921319e-05,0.0412098846106594
"ADAMTSL2",25.3536086928721,-2.14795309587258,0.510206493829001,-4.2099681635814,2.55406675963751e-05,0.0429643537260605
"GNPTAB",1706.57080857143,0.367608646257082,0.0874614249260213,4.20309463935697,2.63290441347834e-05,0.0429643537260605
"RFLNB",1065.35671072143,-0.579579399260794,0.13750012080214,-4.21511920047544,2.49646296055657e-05,0.0429643537260605
"P2RX1",131.834776291981,-0.911527161436121,0.220452169918263,-4.13480693691556,3.5525316013244e-05,0.0547504328624112
"ITGA4",14981.6947538183,-0.290752436362503,0.0710791986826193,-4.09054184277965,4.30366555345473e-05,0.0606626479684456
"WNT10B",174.128453952292,-0.788704400032451,0.192987911094372,-4.08680728010353,4.37350116927621e-05,0.0606626479684456
"TMEM169",44.3407426832039,-1.37906889565262,0.340805369465155,-4.04649990643301,5.19891454835811e-05,0.0681089286739766
"CYP2W1",47.0447073379086,-2.19780308267027,0.544341621318758,-4.03754369791846,5.40137857621385e-05,0.0681089286739766
"CCNL2",3250.67382712346,-0.310279599052247,0.0779093580030985,-3.98257163202278,6.81735676367337e-05,0.0759779119407947
"RPSAP13",18.6545432451923,2.68701871197022,0.674658523938194,3.98278331426874,6.81128526639025e-05,0.0759779119407947
"ENSG00000279474",46.2927978105781,-1.5827419183873,0.39752023580458,-3.98153798430873,6.8470776054211e-05,0.0759779119407947
"CSGALNACT2",1010.01645878148,0.461299729180429,0.116761851918837,3.95077434624014,7.78987455217891e-05,0.0781301668645557
"MGAT5B",187.86989979702,-0.783972821918787,0.198188754765219,-3.95568771218885,7.6314798112893e-05,0.0781301668645557
"TEF",106.791016861281,0.9914838092671,0.251145921976314,3.94783957256772,7.88596183341466e-05,0.0781301668645557
"CD40LG",1759.33883442616,-0.493324007367903,0.125611747608807,-3.92737157757141,8.58792497631684e-05,0.0821509057820709
"ERI1",879.047274036954,0.422024493421454,0.108261561944219,3.89819328155361,9.691305158636e-05,0.0840145301267879
"ITGAL",500.045816568083,-0.472757573837043,0.121198350507932,-3.90069313530884,9.59176697002749e-05,0.0840145301267879
"ENSG00000289140",83.7278743637294,1.11961985074646,0.286832567435472,3.90339165721948,9.48540211842983e-05,0.0840145301267879
"S100A13",35.9416236649301,-1.55190092915257,0.403577670791405,-3.84535875364298,0.000120376189532228,0.091540348838083
"MECOM-AS1",7.2484180946126,5.29316807814456,1.37516411001514,3.84911738140569,0.000118544194398118,0.091540348838083
"ENSG00000289412",8.7584945528396,-5.82760281329799,1.51945075848602,-3.83533509115136,0.000125393217830906,0.091540348838083
"SPTB",206.472640112891,-0.637605232642135,0.165965160224524,-3.84180168765275,0.000122134498926886,0.091540348838083
"WARS1",2201.75621667097,0.308112387079028,0.0802940767895159,3.83729908106072,0.000124394936541713,0.091540348838083
"CAPN6",7.22327948557466,5.68999817920563,1.47607494308152,3.8548165903602,0.000115816422261423,0.091540348838083
"TNS3",57.593982612431,-1.73475702510711,0.455760638108566,-3.80628970572459,0.000141067131796268,0.0964476376878033
"ACSF3",12560.205962701,-0.259293480018886,0.068168584670831,-3.80370930790113,0.000142545443394252,0.0964476376878033
"AMOT",135.629329033265,-0.791220100969218,0.207416646051385,-3.81464128377238,0.00013638089401293,0.0964476376878033
"PLXND1",984.793212600031,-0.547239817391808,0.144498980034619,-3.78715349589804,0.000152382971509133,0.097591721435429
"FXYD2",208.275350109908,0.944224010803285,0.249586944395658,3.78314664290474,0.000154858115224762,0.097591721435429
"RUBCNL",1851.84698820671,0.315439471800302,0.0835309881824922,3.77631677373616,0.000159164545740951,0.097591721435429
"FBXL3",359.045541366858,0.644094825853342,0.170748608383731,3.77218199287363,0.000161826148517708,0.097591721435429
"ZNF45-AS1",6.65439528895233,5.42480976829021,1.43106609965976,3.7907471706443,0.000150194782895549,0.097591721435429
"RAP1GAP2",1889.81335742828,-0.368441043496864,0.0978630056311049,-3.76486539648807,0.000166638824176402,0.0983559068399482
"LTBP3",427.164018294328,-0.593433597183991,0.158252294493507,-3.7499209669174,0.000176890312108715,0.100145186698119
"KRT1",128.60345580566,-1.18287775575757,0.315332875532975,-3.75120340293814,0.000175987853199073,0.100145186698119
"EPC1-AS2",13.4095414873951,3.76495364258939,1.00603644760275,3.74236306404284,0.000182297876037913,0.101142507583355
"MICAL1",2038.77763950575,-0.437886739019717,0.117980507434088,-3.71151767815841,0.000206020276330444,0.112062911483978
"IGSF9B",3603.91355721136,-0.486356234971634,0.131240195314642,-3.70584814968935,0.000210684505026457,0.112396131806518
"PSMA2P1",12.3020242709477,2.88017799298986,0.780623866084686,3.68958485401649,0.000224620299768924,0.117569655394146
"ENSG00000289126",13.0971311624626,2.71473212914251,0.737200803748595,3.68248666487931,0.000230969953245165,0.118654397647669
"SLC16A3",884.739320734323,-1.10046471769953,0.302012795148478,-3.64376852695432,0.000268675066368235,0.135514818474931
"MTND3P25",5.73235731875217,-5.88914681829129,1.62910170205095,-3.61496572674204,0.000300387358519657,0.140068324026164
"ENSG00000279212",14.363980975691,3.29551814103557,0.910516087541688,3.61939584168488,0.000295291638756126,0.140068324026164
"CALCB",6.47058539094566,5.30360238867996,1.46290286098055,3.62539614224631,0.000288518833878737,0.140068324026164
"DPF3",777.905780575809,-0.376633423531442,0.104159615532542,-3.6159256311173,0.000299276293477701,0.140068324026164
"CADM4",110.155459168699,-0.971348158794938,0.268865544951713,-3.61276547714356,0.000302948683954069,0.140068324026164
"ENSG00000279348",318.716127367327,0.582648297106528,0.162675010197112,3.58167057374415,0.000341404119434115,0.142667025696552
"ERFE",179.694458635345,-0.78059588576427,0.21961805183002,-3.55433389586952,0.000378937792701887,0.142667025696552
"ACAD9-DT",192.990368546826,0.685522119828583,0.192768382680244,3.5561958361486,0.0003762636453601,0.142667025696552
"CCDC96",42.065719191719,1.42718959629024,0.396976721313617,3.59514681759575,0.000324208688033296,0.142667025696552
