"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA4",14981.6947538183,-0.49606706457471,0.0710934736116841,-6.97767374941126,3.00107560388501e-12,8.49004288339071e-08
"ENSG00000272121",21.2473751758302,2.56860474888602,0.588600204267063,4.36392092674263,1.27751770464499e-05,0.0903524396610167
"UFSP2",243.4596114812,0.725469883264783,0.161804731399892,4.48361353211496,7.33895272516748e-06,0.0903524396610167
"CSNK2B",399.029910493731,0.719472509203319,0.164328423958468,4.37825965753287,1.19630770654338e-05,0.0903524396610167
"ENSG00000289140",83.7278743637294,1.22660748336513,0.284438161151818,4.31238719304766,1.61501287127638e-05,0.0908446327306474
"FAM209A",6.56379939469156,6.18713941046978,1.44788746702773,4.2732184312438,1.92671543437216e-05,0.0908446327306474
"HPF1",391.122653390544,0.708773681102471,0.167735043934776,4.2255551641199,2.38352424676436e-05,0.0963284299156624
"PRUNE2",765.39047682769,0.37147429212084,0.0909323109109705,4.08517377815836,4.40438407129769e-05,0.135319587002922
"CCDC90B-AS1",6.69882897268565,5.90834794021357,1.45312124378854,4.06597038304213,4.78330106054867e-05,0.135319587002922
"ENSG00000267731",31.5605245910532,2.10314468507186,0.516373679125348,4.07291225345614,4.64289196331029e-05,0.135319587002922
"CAPN6",7.22327948557466,5.92729325401788,1.47038476869858,4.03111714715601,5.5512364573659e-05,0.142767708526256
"PRKAA1",694.406381874659,0.505618024354179,0.130138522319519,3.88522948733639,0.000102233271494513,0.18934918206474
"ENSG00000234500",70.7589313307779,-1.04996757076259,0.273622932867549,-3.8372791335836,0.000124405037928854,0.18934918206474
"NKX3-1",1476.58369358202,-0.398039400120197,0.102887426349441,-3.868688470915,0.000109422339577318,0.18934918206474
"SLC22A17",311.4717866347,-0.741523645585817,0.190744416846852,-3.88752477185836,0.000101271655193951,0.18934918206474
"TLE2",661.831573689013,-0.506166742527659,0.131923554766904,-3.83681855315379,0.000124638490662812,0.18934918206474
"MIRLET7BHG",475.468564424509,-0.684108114118173,0.178530858546994,-3.83187601116083,0.000127169828887595,0.18934918206474
"LINC02595",103.948111935113,-1.07770168894736,0.280709147662495,-3.83921114762925,0.000123430248509883,0.18934918206474
"MT-RNR2",753.591993734762,-4.11449517845784,1.05051793384689,-3.91663487684688,8.9793587656809e-05,0.18934918206474
"LYPLA1",1323.97574894905,0.397951032189515,0.10487066539025,3.79468396341953,0.000147831638132224,0.199150335369553
"LACTB2-AS1",45.5221763443208,1.53942010485525,0.4049333955815,3.80166249969228,0.000143728424771646,0.199150335369553
"MECOM-AS1",7.2484180946126,5.17023549555968,1.37357620561147,3.76406891327742,0.000167170781807094,0.214966428060122
"TBC1D2B",2606.68262176717,-0.278224048404816,0.074520347092801,-3.73353130063043,0.000188813716577498,0.222564168415725
"MT-RNR1",725.63413574496,-3.81799903836502,1.01989500276916,-3.74352166448372,0.000181458948846853,0.222564168415725
"RNU6-942P",6.8996285658801,5.41474192219963,1.46629095368311,3.69281547335375,0.000221784953823056,0.243072136140701
"ENSG00000281383",7502.72482362244,-5.00438382004294,1.35584332576903,-3.69097500052556,0.000223396095428004,0.243072136140701
"RPS18P9",72.2364744112938,1.08199263752367,0.294671953042885,3.67185484180166,0.000240796447230829,0.252301166376302
"CARD11-AS1",16.4333004351649,-1.99891465140201,0.552963703683702,-3.61491113808331,0.00030045065945708,0.282627740866641
"SNORA22B",11.2039423847555,3.73547734315406,1.03245184879754,3.61806446228425,0.000296814477840495,0.282627740866641
"JAG1",272.089644954603,-0.578196737377648,0.160296427594771,-3.60704693207094,0.000309701660193209,0.282627740866641
"C21orf91",426.004056261178,0.506371381850488,0.139701449115504,3.6246680693471,0.000289332814443835,0.282627740866641
"DYSF",109.773553871748,1.21505210180381,0.33837402008437,3.59085517706368,0.000329594747584051,0.291382356536025
"C1orf116",9.11573884137736,4.02007918545214,1.14861956204912,3.49992227041684,0.000465393843051097,0.295106745822502
"MNX1",637.763967712811,-0.54956558030933,0.156563647099053,-3.51017359707799,0.000447814228618731,0.295106745822502
"ZNG1DP",90.8271556900002,1.07316398534243,0.308660791295657,3.47683935117785,0.000507361717894459,0.295106745822502
"APBA1",182.890035113427,-0.589400019361654,0.169354252942479,-3.48027881863612,0.000500892214211711,0.295106745822502
"HNRNPA1P15",14.1905400079962,-3.10019185194131,0.876036903087941,-3.53888271260429,0.000401824343887092,0.295106745822502
