"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042254","BP","GO:0042254","ribosome biogenesis",317,0.505453677836019,2.06428076101101,1e-10,4.91134687873402e-07,4.91134687873402e-07,10910,"tags=76%, list=39%, signal=47%","ERI2/FBLL1/RPP40/UTP15/PA2G4/FDXACB1/ISG20L2/LTV1/NOL6/NOP10/ABCE1/MRM2/RRP9/RCL1/MYBBP1A/EBNA1BP2/RBIS/WDR74/FCF1/MPV17L2/RAN/MRPS2/NOLC1/RIOK2/URB2/EIF6/MRTO4/NPM1/ZNF622/DDX49/UTP20/DHX37/UTP11/RPSA2/RPLP0P6/C1orf131/RRP12/PWP2/RPF2/DDX28/DDX21/SNU13/WDR43/FASTKD2/NOP56/POP7/WDR12/NOC4L/RPS19BP1/RPP25/GTPBP4/MAK16/RRN3/NOP16/DKC1/NSUN5/TFB2M/UTP4/NLE1/IMP4/RRP36/ERI1/MPHOSPH10/PAK1IP1/WDR18/EXOSC1/BMS1/DDX10/RIOK3/LYAR/ZNHIT3/NHP2/RSL24D1/BYSL/ABT1/BUD23/NIP7/RRP1/WDR46/RPF1/RRP7A/ZNF658/DDX18/NOL9/RPL26L1/RPSA/EXOSC7/ERAL1/MRPS7/HEATR1/TSR2/ERI3/POP5/NAT10/EIF5/RPL26/RPL7L1/HABP4/NOP58/XRCC5/UTP6/SUV39H1/RSL1D1/RPP30/SLX9/TRAF7/SBDS/TSR1/KRR1/METTL16/GRWD1/CINP/C1QBP/PWP1/RPL5/DDX56/RRP15/NPM3/NIFK/MTG2/NVL/WBP11/RPUSD1/DNTTIP2/RIOX2/EXOSC10/POP4/UTP18/NUDT16/DDX3X/MRM3/NOB1/EIF4A3/DHX29/URB1/METTL5/SIRT7/DDX51/LSM6/RPS25/NOL11/LSG1/NSA2/NGDN/EFL1/NOC2L/DCAF13/WDR75/GTF3A/RPS16/RPLP0/NOL7/DROSHA/DIS3/USP36/EIF5B/PIN4/NAF1/BOP1/UTP23/EXOSC9/PRKDC/MTREX/NOP14/GEMIN4/GLUL/RPS15/PDCD11/NGRN/BRIX1/SART1/NOL8/METTL17/WDR36/RRP1B/YTHDF2/AATF/RPS27L/SERBP1/RIOK1/RPL7A/MPHOSPH6/DDX54/SHQ1/EIF1AX/RPL35A/GNL3L/DDX31/PELP1/WDR55/XRN2/YBEY/ESF1/RPL23A/GTPBP10/RPS5/RPL6/RPS27/DHX30/EXOSC2/RPS24/RPL11/SDAD1/ZCCHC4/NOA1/RPUSD4/RPL14/FBL/HEATR3/TMA16/NOP53/MRPL20/TSC1/WDR3/REXO4/FRG1/TSR3/RPS11/USP16/NUP88/RPS13/RPL27/RPL10A/LTO1/NOL10/NSUN3/PPAN/FTSJ3/EIF2A/RPS4X/MTERF3/ERCC2/RPL10/LAS1L/RPL7/DDX52/TBL3/RPS7/TENT4B/C1D/ZNHIT6/PES1"
"GO:0006364","BP","GO:0006364","rRNA processing",223,0.508055751659733,1.99210864499075,1e-10,4.91134687873402e-07,4.91134687873402e-07,8986,"tags=61%, list=32%, signal=42%","ERI2/FBLL1/RPP40/UTP15/PA2G4/FDXACB1/NOL6/NOP10/MRM2/RRP9/RCL1/EBNA1BP2/WDR74/FCF1/NOLC1/RIOK2/EIF6/MRTO4/DDX49/UTP20/DHX37/UTP11/RRP12/PWP2/RPF2/DDX21/SNU13/WDR43/NOP56/POP7/WDR12/NOC4L/RPP25/GTPBP4/MAK16/DKC1/NSUN5/TFB2M/UTP4/IMP4/RRP36/ERI1/MPHOSPH10/WDR18/EXOSC1/BMS1/DDX10/RIOK3/LYAR/ZNHIT3/NHP2/BYSL/ABT1/BUD23/RRP1/WDR46/RPF1/RRP7A/DDX18/NOL9/EXOSC7/HEATR1/TSR2/ERI3/POP5/NAT10/RPL26/RPL7L1/NOP58/UTP6/SUV39H1/RSL1D1/RPP30/SLX9/SBDS/TSR1/KRR1/METTL16/PWP1/RPL5/DDX56/RRP15/NPM3/NIFK/NVL/WBP11/RPUSD1/EXOSC10/POP4/UTP18/NUDT16/MRM3/NOB1/EIF4A3/URB1/METTL5/SIRT7/DDX51/LSM6/RPS25/NOL11/NSA2/NGDN/DCAF13/WDR75/RPS16/DROSHA/DIS3/USP36/PIN4/NAF1/BOP1/UTP23/EXOSC9/PRKDC/MTREX/NOP14/GEMIN4/RPS15/PDCD11/BRIX1/SART1/NOL8/WDR36/RRP1B/YTHDF2/RIOK1/RPL7A/MPHOSPH6/DDX54/SHQ1/RPL35A/PELP1/WDR55/XRN2/YBEY/ESF1"
"GO:0016072","BP","GO:0016072","rRNA metabolic process",261,0.488195879392889,1.93443694815624,1.05863203306524e-10,4.91134687873402e-07,4.91134687873402e-07,8986,"tags=59%, list=32%, signal=40%","ERI2/ERN2/CAVIN1/FBLL1/RPP40/UTP15/PA2G4/FDXACB1/NOL6/NOP10/PELO/MRM2/RRP9/RCL1/EBNA1BP2/WDR74/FCF1/NOLC1/RIOK2/EIF6/MRTO4/DDX49/UTP20/DHX37/UTP11/GTF3C4/RRP12/PWP2/RPF2/DDX21/SNU13/WDR43/NOP56/POP7/POLR1E/WDR12/NOC4L/GTF3C2/RPP25/GTPBP4/MAK16/DKC1/NSUN5/TFB2M/UTP4/IMP4/RRP36/ERI1/MPHOSPH10/GTF3C5/WDR18/EXOSC1/BMS1/DDX10/RIOK3/LYAR/ZNHIT3/NHP2/BYSL/ABT1/BUD23/RRP1/WDR46/GTF3C6/RPF1/RRP7A/DDX18/NOL9/EXOSC7/HEATR1/TSR2/MARS1/ERI3/NCL/POP5/NAT10/DEDD2/RPL26/RPL7L1/NOP58/UTP6/SUV39H1/RSL1D1/RPP30/SLX9/SBDS/TSR1/KRR1/METTL16/PWP1/RPL5/DDX56/RRP15/NPM3/NIFK/NVL/WBP11/RPUSD1/EXOSC10/POP4/TCOF1/UTP18/NUDT16/MRM3/NOB1/EIF4A3/URB1/METTL5/SIRT7/DDX51/LSM6/POLR1B/RPS25/NOL11/NSA2/NGDN/DCAF13/WDR75/SLFN14/GTF3A/RPS16/DROSHA/DIS3/USP36/PIN4/NAF1/BOP1/UTP23/EXOSC9/PRKDC/MTREX/NOP14/GEMIN4/RPS15/PDCD11/BRIX1/SART1/NOL8/WDR36/RRP1B/YTHDF2/RIOK1/RPL7A/MPHOSPH6/DDX54/SHQ1/RPL35A/PELP1/WDR55/XRN2/MACROH2A2/YBEY/ESF1"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",276,0.473172319265656,1.92793479491486,4.44064055601685e-10,1.54512088146606e-06,1.54512088146606e-06,9203,"tags=68%, list=33%, signal=46%","MICOS10/ATP5ME/NDUFA8/MRPL30/MRPS18B/MTX1/MRPL49/MRPS35/MRPL51/NDUFB2/MRPL9/ATP5F1E/ATP5MC1/MRPL37/DLAT/DLD/TIMM22/LYRM4/ATP5MK/TRMT10C/MPV17L2/MRPL43/ATP5MC3/MRPS2/COX8A/MRPL11/UQCR10/NDUFB4/MCCC2/TIMM50/MRPS34/MCUB/PDK2/MRPL32/MRPL3/MRPL58/UQCRHL/TIMM44/MRPS12/MTCO2P12/CHCHD3/VDAC1/GADD45GIP1/COX7B/MRPS18C/MRPL13/NDUFA12/ATP5F1C/COX7A2L/MRPL14/TOMM40L/SLC25A4/NDUFA1/NDUFC1/ATP5MG/MRPS9/TIMM8B/NDUFS5/NDUFB9/ATP5PB/TIMM13/NDUFS7/MRPS21/COX6B1/PHB1/TIMM10/NDUFA5/MRPL45/COX6A1/MICU1/MRPL55/NDUFA2/MRPS10/MRPL39/COX7A2/DNAJC15/ROMO1/MRPL2/UQCRC2/PHB2/BCKDK/MRPL1/ATP5PD/MRPS15/UQCRFS1P1/NDUFB8/AFG3L2/MRPL4/NDUFAF1/UQCRQ/MRPL24/MRPL46/SUPV3L1/PPIF/HSPA9/ATP5MF/MRPL10/GRPEL2/UQCRC1/GRPEL1/MRPS7/MRPL42/NDUFA6/DAP3/TIMM29/MCU/NDUFAB1/HSD17B10/MRPS31/IDH3A/COX5A/NDUFS8/NDUFB1/NDUFS2/MRPL35/IMMT/MRPS30/NDUFS6/IDH3B/UQCRFS1/NDUFB3/MPC2/SUCLG1/AURKAIP1/SLC25A5/ATP5F1A/MRPL47/SDHC/TIMM17A/POLRMT/PDHA1/SDHB/MRPS22/MRPS36/NDUFC2/MRPL15/MFN1/MRPL40/COX4I1/ATP5MC2/TIMM9/ATP5MJ/PDHB/TIMM21/MRPL50/NDUFA9/MRPS18A/TIMM23/TOMM22/NDUFB11/PMPCA/NDUFA4/MRPL18/ATP5F1B/SUCLG2/NDUFB7/MRPS16/MRPS23/MRPL12/MRPS28/MRPL34/NDUFS3/MRPL22/HADHA/BCKDHB/MRPL36/COX7C/COX5B/ISCU/SDHD/NFS1/CYC1/TOMM40/SMDT1/MRPL48/CHCHD6/MRPS26/BCKDHA/HADHB/SAMM50/MRPL52/MRPL21/MRPL19/UQCR11/ATP5PO/MRPS17/MRPS33/CHCHD1"
"GO:0044391","CC","GO:0044391","ribosomal subunit",184,0.502025453546633,1.96726559636688,1.55390502028314e-08,4.32545001446014e-05,4.32545001446015e-05,11062,"tags=77%, list=39%, signal=47%","RPS10P5/MRPL30/MRPS18B/MRPL49/MRPS35/MRPL51/MRPL9/MRPL37/MPV17L2/MRPL43/RPL39L/MRPS2/MRPL11/MRPS34/MRPL32/MRPL3/MRPL58/RPL36AL/NPM1/MRPS12/GADD45GIP1/MRPS18C/RPSA2/RPLP0P6/MRPL13/SNU13/MRPL14/MRPS9/MRPS21/MRPL45/MRPL55/MRPS10/MRPL39/MRPL2/MRPL1/MRPS15/NHP2/MRPL4/MRPL24/MRPL46/UBA52/MRPL10/RPL26L1/RPSA/MRPS7/MRPL42/DAP3/MRPS31/RPL26/RPL7L1/MRPL35/RPS26/RSL1D1/MRPS30/RPL17/AURKAIP1/RPS2/RPL5/MRPL47/MRPS22/MRPL15/MRPL40/DHX29/MRPL50/FAU/MRPS18A/RPS25/RPL41/MRPL18/RPS16/MRPS16/RPLP0/MRPS23/MRPL12/RPL18A/MRPS28/MRPL34/MRPL22/RPL4/RPL3L/MRPL36/RPS27A/RPS15/RPL18/RPS27L/MRPL48/RPL7A/RPL35A/MRPS26/RPL29/MRPL52/RPS10/RPL23A/MRPL21/MRPL19/RPS5/RPL6/RPS27/MRPS17/MRPS33/CHCHD1/RPLP2/RPL8/MRPL41/RPL15/RPL28/RPS24/RPL11/RPL19/RPL12/RPL21/PTCD3/RPL14/MRPL20/MRPL27/MRPL23/RPL37A/RPS11/RPL36/RPL23/RPS13/RPL27/RPL10A/ZCCHC17/NSUN3/MRPS27/MRPL28/RACK1/RPL27A/EIF2A/RPS4X/RPL10/RPL7/RPL3/RPS7/MRPL16/RPL22/IMP3/RPL34/MRPL57/RPS9"
"GO:0030684","CC","GO:0030684","preribosome",107,0.568923136148072,2.066555740671,6.99011696823725e-08,0.00016214741327321,0.00016214741327321,8625,"tags=64%, list=30%, signal=44%","FBLL1/UTP15/LTV1/NOL6/RRP9/RCL1/EBNA1BP2/WDR74/FCF1/RIOK2/EIF6/MRTO4/ZNF622/UTP20/DHX37/UTP11/C1orf131/PWP2/SNU13/WDR43/NOP56/WDR12/NOC4L/RPS19BP1/MAK16/UTP4/IMP4/RRP36/MPHOSPH10/BMS1/RIOK3/BYSL/NIP7/RRP1/WDR46/RPF1/RRP7A/HEATR1/NAT10/NOP58/XRCC5/UTP6/RSL1D1/SLX9/TSR1/KRR1/RRP15/DNTTIP2/EXOSC10/UTP18/NOB1/NSA2/NGDN/NOC2L/DCAF13/WDR75/RPS16/NOL7/BOP1/UTP23/PRKDC/NOP14/RPS27A/PDCD11/WDR36/RRP1B/AATF/RIOK1"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",114,0.538596860267993,2.00462320397123,6.00519380240032e-07,0.00119400410488297,0.00119400410488297,11039,"tags=82%, list=39%, signal=50%","MRPL30/MRPL49/MRPL51/MRPL9/MRPL37/MPV17L2/MRPL43/RPL39L/MRPL11/MRPL32/MRPL3/MRPL58/RPL36AL/NPM1/GADD45GIP1/RPLP0P6/MRPL13/SNU13/MRPL14/MRPL45/MRPL55/MRPL39/MRPL2/MRPL1/NHP2/MRPL4/MRPL24/MRPL46/UBA52/MRPL10/RPL26L1/MRPL42/RPL26/RPL7L1/MRPL35/RSL1D1/MRPS30/RPL17/RPL5/MRPL47/MRPL15/MRPL40/MRPL50/MRPS18A/RPL41/MRPL18/RPLP0/MRPL12/RPL18A/MRPL34/MRPL22/RPL4/RPL3L/MRPL36/RPL18/MRPL48/RPL7A/RPL35A/RPL29/MRPL52/RPL23A/MRPL21/MRPL19/RPL6/RPLP2/RPL8/MRPL41/RPL15/RPL28/RPL11/RPL19/RPL12/RPL21/RPL14/MRPL20/MRPL27/MRPL23/RPL37A/RPL36/RPL23/RPL27/RPL10A/ZCCHC17/NSUN3/MRPL28/RPL27A/RPL10/RPL7/RPL3/MRPL16/RPL22/RPL34/MRPL57"
"GO:0005759","CC","GO:0005759","mitochondrial matrix",459,0.352844889418255,1.46135958725393,1.35835653103943e-06,0.00236320077487585,0.00236320077487585,9203,"tags=56%, list=33%, signal=39%","FDX2/COQ3/MAIP1/CASQ1/MYG1/GLUD2/MRPL30/MRPS18B/GLS2/MRPL49/MRPS35/MRPL51/THEM5/ABCE1/DHRS2/MRPL9/MRM2/LRRC59/FDX1/DGUOK/OAT/ATP5F1E/GOT2/TRUB2/MRPL37/DLAT/DLD/LYRM4/TRMT10C/MPV17L2/MRPL43/FECH/MRPS2/MRPL11/SARS2/SCO2/ARL2/MCCC2/MRPS34/PDK2/MRPL32/MRPL3/MRPL58/TIMM44/BCAT2/TUFM/MRPS12/SHMT2/FLAD1/TBRG4/PRDX3/POLDIP2/ALDH1B1/VDAC1/GADD45GIP1/CCNB1/TRAP1/PDE12/MRPS18C/MRPL13/ATP5F1C/DDX28/FASTKD2/FDXR/MRPL14/SSBP1/PYCR2/RAD51/ISCA1/SUCLA2/OXCT2/MRPS9/GLUD1/FAHD1/ATP5PB/NAXE/NDUFS7/MRPS21/TFB2M/ADPRS/PARK7/MRPL45/MRPL55/SIRT4/CLPP/HSPD1/MRPS10/GRSF1/VDAC2/CS/MRPL39/DNAJC15/PYROXD2/MRPL2/PTPN1/BCKDK/MRPL1/GARS1/MRPS15/FASTKD3/NDUFB8/ELAC2/MRPL4/NDUFAF1/HSPE1/MRPL24/MRPL46/SUPV3L1/PPIF/SOD2/DARS2/HSPA9/MRPL10/GRPEL2/PRIMPOL/GRPEL1/ERAL1/MRPS7/MRPL42/ABHD10/MCAT/IBA57/YARS2/ALAS1/DAP3/TXN2/HAX1/FASTKD5/PCCB/NDUFAB1/HSD17B10/MRPS31/MDH2/HYKK/MTG1/ECHS1/IDH3A/KARS1/MPG/NDUFS8/ACADSB/NDUFS2/MRPL35/MTHFD2/MRPS30/FH/GCDH/GPT2/IDH3B/ME2/SUCLG1/AURKAIP1/SOD1/FOXO3B/ACOT13/SLC25A5/C1QBP/ATP5F1A/ALDH5A1/MRPL47/GCSH/MTG2/MMAA/CYP27A1/MMAB/GFM1/POLRMT/PDHA1/BLOC1S1/MRPS22/MRPS36/DTYMK/MRPL15/PYCR1/IARS2/MRPL40/MRM3/WARS2/PDHB/MRPL50/NDUFA9/ALKBH7/PITRM1/COASY/PARS2/MRPS18A/ETFA/ALDH1L2/PMPCA/GSTK1/MRPL18/ATP5F1B/DNA2/SUCLG2/PDP2/CCAR2/MRPS16/MRPS23/MRPL12/MRPS28/ATG4D/MRPL34/QARS1/CDK1/GSR/DNAJA3/ACADS/MIPEP/PIN4/NDUFS3/PPTC7/TRMT5/RPUSD3/MRPL22/HADHA/BCKDHB/MRPL36/TTC5/MMUT/OXA1L/TEFM/NUDT1/UQCC2/OGDH/ISCU/ALDH6A1/NFS1/TOP3A/METTL17/SMDT1/GUF1/SHC1/MRPL48/LRPPRC/ALDH2/RIDA/TWNK/MRPS26/BOLA3/SDHAF1/BCKDHA/ETFDH/SIRT5/HADHB/GPX1/MRPL52/GLRX2/MRPL21/HADH/MRPL19/DHTKD1/TST/IVD/LIPT2/MRPS17/DLST/MRPS33/CHCHD1"
"GO:0042274","BP","GO:0042274","ribosomal small subunit biogenesis",103,0.553605994080008,2.0079945780153,2.12023890058812e-06,0.00324934526515107,0.00324934526515107,8625,"tags=60%, list=30%, signal=42%","RPP40/UTP15/LTV1/NOL6/RRP9/RCL1/FCF1/RIOK2/NPM1/UTP20/DHX37/UTP11/RPSA2/C1orf131/PWP2/SNU13/WDR43/NOP56/RPS19BP1/UTP4/IMP4/RRP36/MPHOSPH10/BMS1/RIOK3/BYSL/ABT1/WDR46/RRP7A/RPSA/ERAL1/MRPS7/HEATR1/TSR2/NAT10/NOP58/XRCC5/UTP6/SLX9/TSR1/KRR1/DNTTIP2/EXOSC10/UTP18/NOB1/LSM6/RPS25/NOL11/NGDN/DCAF13/WDR75/RPS16/NOL7/UTP23/PRKDC/NOP14/RPS15/METTL17/WDR36/AATF/RPS27L/RIOK1"
"GO:0005681","CC","GO:0005681","spliceosomal complex",193,0.45386254414021,1.7543758476199,2.33463519553892e-06,0.00324934526515107,0.00324934526515107,10450,"tags=67%, list=37%, signal=42%","RBM44/U2AF1L4/SNRPGP15/SNRPC/PHF5A/MAGOH/PLRG1/HSPA8/SNRNP25/SNRPB2/PPIL1/PRPF19/DQX1/GPKOW/SNU13/RBM3/GCFC2/SF3B4/ZMAT5/YBX1/HNRNPF/TXNL4B/EFTUD2/CWC25/SF3B6/SNRPE/HNRNPA1L3/SF3A2/ZMAT2/PPP1R8/SNRPB/SF3A3/ISY1/SNRNP40/PRPF31/BCAS2/LSM4/USP39/NCL/ZCRB1/AAR2/LSM7/PRPF8/API5/ARMC7/RBM22/HNRNPR/ALYREF/SNRPA/SF3A1/LSM3/SF1/HNRNPM/SNW1/RALY/C9orf78/SF3B5/DDX23/CWC15/EIF4A3/PPIH/SUGP1/SNRPF/SNRPG/HNRNPH3/HTATSF1/LSM6/CRNKL1/DHX8/CWF19L1/PDCD7/LSM5/PRPF40A/BUD13/CDC5L/CASC3/PRPF4/SNRPD2/SNRPD1/BUD31/SF3B2/MTREX/GPATCH1/SYNCRIP/UPF1/U2AF2/HNRNPK/SART1/TRA2B/DHX38/CLNS1A/HNRNPA2B1/MFAP1/SMU1/MAGOHB/DHX16/RBM8A/GEMIN2/PABPC1/PPIE/CACTIN/SF3B1/DHX15/ADAR/AQR/SREK1/SNRPA1/RBM17/RHEB/ESS2/HNRNPA1/RBMXL1/LSM2/SF3B3/RBMX2/TTF2/PPIL3/DNAJC17/U2AF1/PRPF40B/SCNM1/CWC22/FRG1/PRPF3/CIRBP/RBMX/PRPF38A/SRRM1/HNRNPC"
