"","EventName","EventType","EventRegion","flags","AvgPSI_PMO","AvgPSI_UT","deltaPSI","abs_deltaPSI","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Inc.baseMean","Inc.log2FoldChange","Inc.lfcSE","Inc.stat","Inc.pvalue","Inc.padj","Exc.baseMean","Exc.log2FoldChange","Exc.lfcSE","Exc.stat","Exc.pvalue","Exc.padj"
"1","SE:ITGA4-201-exon4;ITGA4-209-int2","SE","chr2:181475067-181478756/+","",0.5202,0.9693,-0.4491,0.4491,238.083333333333,-4.54607780806662,0.721324705333825,-6.30240136577981,2.93069044136845e-10,1.06943824895976e-05,365.44819551614,-1.18848133478918,0.559276829326285,-2.12503231399887,0.0335839166457307,0.999754655603456,100.151127772113,3.35175880826043,0.409885816246645,8.17729883642409,2.90277475284702e-16,2.57920245114716e-11
"2","A3SS:SKIC2-204-exon22;SKIC2-201-exon25","A3SS","chr6:31968539-31968685/+","",0,0.2257,-0.2256,0.2256,30.25,-6.71511272887932,1.3106599191264,-5.12345928252324,2.99980449336981e-07,0.0054732932883779,6.03754654664508,-6.04505786966439,1.70361752953913,-3.54836561895422,0.000387629738901946,0.999754655603456,53.6697996051981,0.70437811922501,0.433611648171407,1.62444464348561,0.104280945678158,0.999754655603456
"3","A3SS:LIG3-201-exon2;LIG3-215-exon2","A3SS","chr17:34980623-34983231/+","",0.9323,1,-0.0676,0.0676,94,-6.07978781431256,1.24783714613744,-4.87226064164859,1.10328483013381e-06,0.0102879870789378,177.988383455142,0.217370357024283,0.245434808007101,0.885654153089786,0.375803920710919,0.999754655603456,6.88912026872199,6.27185771588149,1.64437229883542,3.81413486491067,0.000136660826931266,0.999754655603456
"4","AFE:HDAC7-201-exon1;HDAC7-212-exon1","AFE","chr12:47802275-47833045/-","",0.8287,1,-0.1713,0.1713,38.8333333333333,-6.74983702674483,1.3911166335982,-4.85210000637115,1.22160991622003e-06,0.0102879870789378,70.7016318774166,-0.574074545227905,0.415979106912766,-1.38005619918861,0.167569341963399,0.999754655603456,6.01179704562153,6.07878386476031,1.73005954629598,3.51362696028287,0.000442033114764507,0.999754655603456
"5","SE:ABCD4-201-exon4;ABCD4-205-int2","SE","chr14:74296450-74299547/-","Exc-NMD",0.8051,1,-0.1949,0.1949,30.9166666666667,-6.67374819532807,1.38355198525507,-4.82363385434897,1.40966088610038e-06,0.0102879870789378,54.5201848240781,-0.400105479627413,0.434246129147523,-0.921379496031128,0.356852329884423,0.999754655603456,6.83255636360374,6.25812194285078,1.702411890638,3.67603279633196,0.000236889082350362,0.999754655603456
"6","ACTG1/ENST00000575842.5_Intron3/clean","IR","chr17:81511109-81511187/-","Inc-NMD",0.0108,0.0025,0.0083,0.0083,1695.58333333333,2.15565976200054,0.454741890915645,4.74040286383121,2.13293690865272e-06,0.0122227395532186,21.5320976812319,2.19031223305202,0.669468693067944,3.27171719265104,0.0010689644630679,0.999754655603456,3290.13877438104,0.00513567059409127,0.118754425143274,0.0432461408313436,0.965505324406714,0.999754655603456
"7","SE:SACM1L-201-exon4;SACM1L-205-int3","SE","chr3:45705210-45709497/+","",0.8432,1,-0.1567,0.1567,34.3333333333333,-6.0440805381736,1.28020224220333,-4.721191963991,2.34466517422186e-06,0.0122227395532186,61.5222543176558,0.0634115284480973,0.380810204349975,0.166517408734721,0.867749784235347,0.999754655603456,5.97997870668274,6.0691155910429,1.71017346770218,3.54883039975907,0.0003869462188303,0.999754655603456
"8","AFE:KXD1-206-exon1;KXD1-201-exon1","AFE","chr19:18557915-18562035/+","",0.0549,0,0.0548,0.0548,94.6666666666667,5.88385531601257,1.26228596212185,4.66126970636834,3.14264577161197e-06,0.0143347858564865,5.28185176710634,5.88777762739888,1.7652686709503,3.33534363595163,0.000851940505337031,0.999754655603456,179.334077551545,0.00079818756384319,0.229385378023066,0.00347967935324513,0.997223623170309,0.999875307570705
"9","A5SS:NIT1-208-exon1;NIT1-202-exon1","A5SS","chr1:161118179-161118785/+","",0,0.374,-0.374,0.374,16.0833333333333,-7.3604572785283,1.58694084574028,-4.638142182984,3.51554917320496e-06,NA,5.94285545899114,-6.01891146810751,1.80092603005302,-3.34212031347579,0.000831410147021342,0.999754655603456,25.590794575087,1.38971556986981,0.610853148377978,2.27504036536437,0.0229035084892631,0.999754655603456
"10","PIK3R2/ENST00000222254.13_Intron10/clean","IR","chr19:18163148-18163262/+","Inc-NMD",0.0684,0,0.0684,0.0684,72,5.91041675959945,1.27867778971423,4.62228780944132,3.7953094823196e-06,0.0153882931465916,5.53612797308956,5.95680172516974,1.77908231589469,3.34824401993682,0.000813253703216279,0.999754655603456,136.651369777032,0.0728100470965089,0.272166922515289,0.267519823583333,0.789068953176025,0.999754655603456
"11","AFE:SNX1-202-exon1;SNX1-204-exon1","AFE","chr15:64094336-64112572/+","",0.9984,0.9257,0.0728,0.0728,142.833333333333,3.56611026329493,0.777598912844924,4.58605356101638,4.51702767777097e-06,0.0164830856989541,266.658842555727,0.151003117150844,0.231782955119004,0.651484994111471,0.514733460654255,0.999754655603456,11.4692810728656,-3.46365126478827,1.07266849851732,-3.22900436581837,0.00124221998401824,0.999754655603456
"12","A5SS:CNN2-201-exon4;CNN2-211-exon4","A5SS","chr19:1032670-1036129/+","",0.9908,1,-0.0092,0.0092,414.5,-5.82719059249684,1.28251859981204,-4.5435525015784,5.53140204589881e-06,0.0170857747084032,811.878148643391,-0.071056327368614,0.15071098108413,-0.471474121245012,0.637302195823173,0.999754655603456,4.90262269404263,5.77856707214412,1.87010415410937,3.08997071604076,0.00200176230722798,0.999754655603456
"13","A3SS:KMT2D-201-exon43;KMT2D-217-exon2","A3SS","chr12:49030374-49030600/-","",0.9983,0.9155,0.0829,0.0829,98.25,3.38911744704651,0.746459732670707,4.54025488410583,5.61862641475537e-06,0.0170857747084032,185.445522823875,0.603984787950336,0.246000058777864,2.45522212860823,0.0140797557309323,0.999754655603456,7.86282495895841,-2.80578352527615,1.24097040822481,-2.26095925146982,0.0237617804794756,0.999754655603456
"14","A5SS:NAPRT-201-exon11;NAPRT-202-exon11","A5SS","chr8:143575094-143575229/-","",0.9319,1,-0.0681,0.0681,78.1666666666667,-6.42441734924873,1.4219028103995,-4.51818317135453,6.23725160739585e-06,0.0175079652619602,145.858340626385,-0.21667770651145,0.284398949210091,-0.761879420135924,0.446131973838168,0.999754655603456,6.30420115722587,6.14724004720694,1.74462949872319,3.52352178597565,0.000425852085786846,0.999754655603456
